symbol,uniprot,selectivity,protein_drug,rna_drug,surface,enzyme,rna_only,modality,nominated_modality,winning_axis,quadrant,best_route,sm_score,sirna_score,aso_score,transcript_id,mod_aso,mod_sirna
TXNDC12,O95881,0.8823,0.274,0.999,0,0,1,siRNA,siRNA,RNA,RNA-preferred,small molecule,0.321,0.9,0.0,ENST00000371626,0,1
UBE2E2,Q96LR5,0.1981,0.1,0.7,0,0,1,siRNA,siRNA,RNA,RNA-preferred,small molecule,0.087,0.604,0.604,ENST00000396703,0,1
DNTTIP1,Q9H147,0.1156,0.271,0.698,0,0,1,siRNA,siRNA,RNA,RNA-preferred,small molecule,0.317,0.601,0.495,ENST00000372622,0,1
GTF3C6,Q969F1,0.2374,0.11,0.638,0,0,1,siRNA,siRNA,RNA,RNA-preferred,small molecule,0.1,0.542,0.0,ENST00000329970,0,1
ATXN7L3,Q14CW9,0.1613,0.296,0.57,1,0,1,ASO,ASO,RNA,RNA-preferred,antibody/biologic,0.35,0.241,0.474,ENST00000587097,1,0
TBX21,Q9UL17,0.2039,0.169,0.52,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.18,0.235,0.425,ENST00000177694,1,0
KHDRBS1,Q07666,0.2076,0.279,0.515,0,0,1,siRNA,siRNA,RNA,RNA-preferred,small molecule,0.328,0.42,0.252,ENST00000327300,0,1
AVEN,Q9NQS1,0.7131,0.296,0.496,1,0,1,ASO,ASO,RNA,RNA-preferred,antibody/biologic,0.35,0.158,0.402,ENST00000306730,1,0
XRRA1,Q6P2D8,0.2497,0.276,0.494,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.324,0.211,0.399,ENST00000684022,1,0
EIF4G2,P78344,0.1339,0.203,0.487,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.225,0.295,0.393,ENST00000339995,1,0
ARID4B,Q4LE39,0.6292,0.085,0.426,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.066,0.138,0.332,ENST00000264183,1,0
SETD1B,Q9UPS6,0.2161,0.106,0.425,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.095,0.123,0.331,ENST00000604567,1,0
DDRGK1,Q96HY6,0.1422,0.12,0.395,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.114,0.234,0.302,ENST00000354488,1,0
ELP5,Q8TE02,0.3944,0.209,0.366,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.234,0.178,0.272,ENST00000396628,1,0
ATF7IP2,Q5U623,0.34,0.16,0.365,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.168,0.139,0.272,ENST00000562102,1,0
ARHGAP27,Q6ZUM4,0.125,0.276,0.361,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.323,0.056,0.267,ENST00000685559,1,0
LCP2,Q13094,0.0094,0.064,0.352,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.038,0.082,0.259,ENST00000046794,1,0
SUPT20H,Q8NEM7,0.1938,0.069,0.341,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.045,0.137,0.248,ENST00000350612,1,0
ANKRD11,Q6UB99,0.8671,0.085,0.328,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.066,0.115,0.234,ENST00000301030,1,0
NIPBL,Q6KC79,0.3458,0.228,0.316,0,0,1,ASO,ASO,RNA,RNA-preferred,small molecule,0.259,0.118,0.223,ENST00000282516,1,0
APPL2,Q06481,0.4098,0.51,0.918,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.639,0.393,0.82,ENST00000258530,1,0
CD3E,P07766,0.0013,0.629,0.894,1,0,0,ASO,ASO,RNA,Both viable,antibody/biologic,0.8,0.66,0.797,ENST00000361763,1,0
NFKB2,Q00653,0.076,0.488,0.877,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.61,0.189,0.779,ENST00000661543,1,0
PGK1,P00558,0.2203,0.778,0.87,0,1,0,ASO,ASO,RNA,Both viable,small molecule,1.0,0.691,0.772,ENST00000373316,1,0
METAP2,P50579,0.3911,0.571,0.86,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.721,0.742,0.763,ENST00000323666,1,0
SND1,Q7KZF4,0.3953,0.673,0.859,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.859,0.617,0.762,ENST00000354725,1,0
PPP3R1,P63098,0.3034,0.664,0.835,0,1,0,siRNA,siRNA,RNA,Both viable,small molecule,0.847,0.738,0.235,ENST00000234310,0,1
ACTR2,P61160,0.2569,0.704,0.814,0,1,0,siRNA,siRNA,RNA,Both viable,small molecule,0.9,0.716,0.143,ENST00000260641,0,1
TMED9,Q9BVK6,0.1061,0.684,0.796,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.873,0.693,0.699,ENST00000332598,1,0
UGDH,O60701,0.5941,0.757,0.79,0,1,0,siRNA,siRNA,RNA,Both viable,small molecule,0.972,0.694,0.486,ENST00000316423,0,1
CALCOCO2,Q13137,0.1194,0.584,0.786,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.739,0.443,0.689,ENST00000258947,1,0
SPTLC2,O15270,0.3394,0.629,0.781,1,0,0,ASO,ASO,RNA,Both viable,antibody/biologic,0.8,0.562,0.685,ENST00000216484,1,0
MTHFD1,P11586,0.4326,0.778,0.443,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,1.0,0.349,0.176,ENST00000652337,0,0
CD3G,P09693,0.0155,0.674,0.769,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.86,0.434,0.673,ENST00000532917,1,0
CPSF6,Q16630,0.0832,0.474,0.759,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.59,0.359,0.662,ENST00000435070,1,0
DNAJC2,Q99543,0.2231,0.383,0.759,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.468,0.246,0.663,ENST00000379263,1,0
SGF29,Q96ES7,0.1449,0.753,0.341,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.966,0.248,0.24,ENST00000317058,0,0
TMBIM4,Q9HC24,0.6633,0.75,0.708,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.963,0.612,0.246,ENST00000358230,0,0
ATP2A2,P16615,0.0611,0.701,0.747,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.897,0.296,0.65,ENST00000539276,1,0
CDS2,O95674,0.4117,0.636,0.744,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.809,0.544,0.648,ENST00000460006,1,0
ITK,Q08881,0.1424,0.742,0.575,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.952,0.303,0.48,ENST00000422843,0,0
PGGT1B,P53609,0.2324,0.717,0.476,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.918,0.212,0.381,ENST00000419445,0,0
CAND1,Q86VP6,0.3908,0.712,0.495,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.911,0.251,0.4,ENST00000545606,0,0
UBE2L3,P68036,0.344,0.704,0.708,0,1,0,siRNA,siRNA,RNA,Both viable,small molecule,0.9,0.612,0.476,ENST00000342192,0,1
ZAP70,P43403,0.0075,0.706,0.3,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.903,0.02,0.207,ENST00000264972,0,0
NAA20,P61599,0.4447,0.704,0.502,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.9,0.407,0.208,ENST00000334982,0,0
RAC2,P15153,0.446,0.701,0.503,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.897,0.408,0.396,ENST00000249071,0,0
ARPC2,O15144,0.2992,0.701,0.529,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.897,0.434,0.386,ENST00000315717,0,0
CFAP298,P57076,0.2193,0.327,0.694,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.392,0.558,0.598,ENST00000290155,1,0
ELP3,Q9H9T3,0.1355,0.693,0.692,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.886,0.596,0.572,ENST00000256398,0,0
CD28,P10747,0.2233,0.692,0.472,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.884,0.244,0.378,ENST00000324106,0,0
PLCG1,P19174,0.0252,0.557,0.688,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.702,0.11,0.592,ENST00000685551,1,0
NAA25,Q14CX7,0.8002,0.687,0.441,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.877,0.167,0.347,ENST00000261745,0,0
UFM1,P61960,0.106,0.687,0.633,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.878,0.537,0.457,ENST00000239878,0,0
SEC14L1,Q92503,0.2537,0.636,0.687,0,1,0,ASO,ASO,RNA,Both viable,small molecule,0.809,0.38,0.591,ENST00000436233,1,0
FAM20B,O75063,0.4681,0.681,0.514,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.869,0.387,0.419,ENST00000263733,0,0
ELP2,Q6IA86,0.2104,0.677,0.488,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.864,0.201,0.393,ENST00000358232,0,0
SLC7A6,Q92536,0.817,0.629,0.677,1,0,0,ASO,ASO,RNA,Both viable,antibody/biologic,0.8,0.166,0.581,ENST00000219343,1,0
EIF4A1,P60842,0.4729,0.673,0.426,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.858,0.332,0.0,ENST00000293831,0,0
H2AZ1,P0C0S5,0.8114,0.673,0.424,0,1,0,Small molecule,Small molecule,protein,Both viable,small molecule,0.858,0.33,0.083,ENST00000296417,0,0
